game,score,steps
152,-5.0,2751
153,-10.0,1976
154,10.0,2109
155,-6.0,2224
156,-4.0,2735
157,-8.0,2376
158,-4.0,2692
159,-11.0,1834
160,-3.0,2394
161,-6.0,2831
162,-3.0,2531
163,-2.0,2654
164,-4.0,2398
165,-5.0,2526
166,-13.0,2360
167,-1.0,3417
168,5.0,2832
169,-3.0,2863
170,-5.0,2329
171,-1.0,2786
172,-8.0,2149
173,-1.0,2818
174,8.0,2584
175,1.0,2684
176,8.0,2136
177,9.0,2138
178,-1.0,2760
179,1.0,3945
180,13.0,2119
181,2.0,2717
182,-5.0,2385
183,4.0,3746
184,-4.0,2742
185,-7.0,2252
186,-1.0,2802
187,1.0,3089
188,-4.0,3020
189,-6.0,2124
190,-4.0,2667
191,2.0,2835
192,6.0,2360
193,1.0,2612
194,-6.0,2334
195,-5.0,2667
196,2.0,3617
197,11.0,2279
198,1.0,2954
199,-7.0,2500
200,-18.0,1370
201,2.0,3371
202,7.0,2201
203,-6.0,2131
204,3.0,2949
205,7.0,3187
206,-5.0,2460
207,-7.0,2123
208,-17.0,1387
209,9.0,2218
210,6.0,3067
211,3.0,2898
212,-6.0,2881
213,-4.0,2414
214,5.0,2474
215,-6.0,2455
216,-8.0,2304
217,1.0,2589
218,4.0,2440
219,-1.0,3957
220,1.0,2731
221,-1.0,2936
222,5.0,2377
223,9.0,2146
224,6.0,2478
225,5.0,2565
226,-5.0,3007
227,2.0,3523
228,-5.0,2459
229,2.0,3153
230,-3.0,2550
231,-2.0,3228
232,10.0,1901
233,-11.0,1900
234,-6.0,2285
235,-12.0,2412
236,-3.0,3099
237,4.0,3030
238,1.0,3728
239,-7.0,2114
240,2.0,2826
241,4.0,2355
242,-1.0,3389
243,-2.0,2863
244,11.0,2184
245,-2.0,2473
246,10.0,2090
247,2.0,3606
248,-16.0,1648
249,9.0,2145
250,-12.0,2036
251,-12.0,1808
252,5.0,2629
253,1.0,3035
254,-5.0,2337
255,5.0,2598
256,4.0,2655
257,7.0,2738
258,-4.0,2348
259,4.0,2518
260,-2.0,2823
261,4.0,2707
262,-3.0,2697
263,-7.0,2655
264,4.0,2439
265,-2.0,2919
266,-10.0,2091
267,-5.0,2536
268,-1.0,4114
269,1.0,3236
270,3.0,3128
271,-3.0,2357
272,-8.0,2529
273,-11.0,1958
274,2.0,2711
275,1.0,2672
276,-5.0,2210
277,-8.0,2465
278,1.0,2973
279,1.0,2997
280,10.0,2066
281,10.0,1899
282,-1.0,2688
283,-5.0,2535
284,-3.0,2581
285,-3.0,2886
286,-6.0,2343
287,8.0,2437
288,10.0,2081
289,-10.0,2884
290,4.0,2716
291,-1.0,2867
292,9.0,2250
293,15.0,1667
294,-5.0,2593
295,2.0,2972
296,7.0,2154
297,4.0,2548
298,-4.0,2850
299,2.0,3238
300,-3.0,3222
301,-5.0,3305
302,-2.0,3181
303,-12.0,1732
304,-3.0,3053
305,-5.0,2789
306,-7.0,2491
307,-1.0,2603
308,1.0,2738
309,7.0,2450
310,-2.0,2827
311,-11.0,2905
312,11.0,2652
313,-5.0,3307
314,-2.0,3502
315,-12.0,2060
316,-2.0,2967
317,1.0,2795
318,1.0,3048
319,11.0,2048
320,2.0,2787
321,-4.0,2247
322,-4.0,2536
323,7.0,2229
324,-3.0,2485
325,-8.0,2448
326,-7.0,2341
327,2.0,2915
328,-13.0,1934
329,-6.0,2671
330,9.0,2068
331,-2.0,2888
332,2.0,2619
333,6.0,2747
